Product,Brand Name,L2 Product Type,L1 Product Type,L2 Flavour,L1 Flavour
Kettle Mozzarella Basil & Pesto 175g,Kettle,Potato Chips,Chips,Basil & Pesto,Basil & Pesto
Kettle Tortilla ChpsHny&Jlpno Chili 150g,Kettle,Tortilla Chips,Chips,Honey & Jalapeño Chili,Jalapeño
Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,Cobs Popd,"Popped Chips (Potato, Rice & Corn)",Chips,Sweet Chili & Sour Cream,Sour Cream
Tyrrells Crisps Ched & Chives 165g,Tyrrells,Potato Chips,Chips,Cheddar & Chives,Cheddar
Cobs Popd Sea Salt Chips 110g,Cobs Popd,"Popped Chips (Potato, Rice & Corn)",Chips,Sea Salt,Salt
Kettle 135g Swt Pot Sea Salt,Kettle,Potato Chips,Chips,Sweet Potato Sea Salt,Salt
Tostitos Splash Of Lime 175g,Tostitos,Corn Chips,Chips,Lime,Lime
Infuzions Thai SweetChili PotatoMix 110g,Infuzions,Potato Chips,Chips,Thai Sweet Chili,Chili
Smiths Crnkle Chip Orgnl Big Bag 380g,Smiths,Potato Chips,Chips,Original,Original
Thins Potato Chips Hot & Spicy 175g,Thins,Potato Chips,Chips,Hot & Spicy,Chili
Kettle Sensations Camembert & Fig 150g,Kettle,Potato Chips,Chips,Camembert & Fig,Others
Doritos Corn Chips Cheese Supreme 170g,Doritos,Corn Chips,Chips,Cheese Supreme,Cheese
Pringles Barbeque 134g,Pringles,Potato Chips,Chips,Barbeque,BBQ
Doritos Corn Chip Mexican Jalapeno 150g,Doritos,Corn Chips,Chips,Jalapeño,Jalapeño
Kettle Sweet Chilli And Sour Cream 175g,Kettle,Potato Chips,Chips,Sweet Chili & Sour Cream,Sour Cream
Smiths Crinkle Chips Salt & Vinegar 330g,Smiths,Potato Chips,Chips,Salt & Vinegar,Salt
Thins Chips Light& Tangy 175g,Thins,Potato Chips,Chips,Light & Tangy,Others
Dorito Corn Chp Supreme 380g,Doritos,Corn Chips,Chips,Others,Others
Pringles Sweet&Spcy BBQ 134g,Pringles,Potato Chips,Chips,Sweet & Spcy BBQ,BBQ
Infuzions BBQ Rib Prawn Crackers 110g,Infuzions,Prawn Crackers,Chips,BBQ Rib,BBQ
Tyrrells Crisps Lightly Salted 165g,Tyrrells,Potato Chips,Chips,Salt,Salt
Kettle Sea Salt And Vinegar 175g,Kettle,Potato Chips,Chips,Sea Salt & Vinegar,Salt
